sample,plate,row,s,m,l,total,treatment,starch,weight
st1A1,1,A,195,2675,595,3465,potato,potato,5.8
st1A2,1,A,30,140,25,195,potato,potato,5.81
st1A3,1,A,130,6960,1945,9035,potato,potato,8.22
st1A4,1,A,70,920,200,1190,potato,potato,4.65
st1A5,1,A,200,3410,980,4590,potato,potato,7.68
st1A6,1,A,320,4660,1590,6570,potato,potato,7.79
st1B1,1,B,2996.666666666665,1739.999999999999,193.33333333333326,4929.999999999998,wheat,wheat,5.15
st1B2,1,B,10160,6420,360,16940,wheat,wheat,4.56
st1B3,1,B,29289.999999999985,32093.33333333332,3528.333333333332,64911.66666666664,wheat,wheat,9.28
st1B4,1,B,2948.333333333332,2464.999999999999,676.6666666666664,6089.999999999998,wheat,wheat,1.59
st1B5,1,B,26679.999999999985,21943.333333333325,6186.666666666664,54809.99999999997,wheat,wheat,8.62
st1B6,1,B,16916.666666666657,9279.999999999996,1836.666666666666,28033.33333333332,wheat,wheat,9.8
st1C1,1,C,NA,2754.999999999999,918.333333333333,3673.333333333332,mix,potato,4.09
st1C1,1,C,4688.333333333331,4543.333333333331,2416.6666666666656,11648.333333333328,mix,wheat,4.09
st1C2,1,C,NA,579.9999999999998,628.333333333333,1208.3333333333328,mix,potato,1.5
st1C2,1,C,1498.3333333333326,1449.9999999999995,434.9999999999998,3383.333333333332,mix,wheat,1.5
st1C3,1,C,NA,5461.666666666664,966.6666666666663,6428.33333333333,mix,potato,8.44
st1C3,1,C,16964.999999999993,12373.333333333328,1884.999999999999,31223.33333333332,mix,wheat,8.44
st1C4,1,C,NA,3769.999999999998,1208.3333333333328,4978.333333333331,mix,potato,5.42
st1C4,1,C,18946.666666666657,14596.66666666666,3286.666666666665,36829.999999999985,mix,wheat,5.42
st1C5,1,C,NA,220,100,320,mix,potato,6.12
st1C5,1,C,50,0,0,50,mix,wheat,6.12
st1C6,1,C,NA,85,0,85,mix,potato,1.91
st1C6,1,C,485,260,60,805,mix,wheat,1.91
st1D1,1,D,NA,NA,NA,5,control,none,6.51
st1D2,1,D,NA,NA,NA,0,control,none,4.42
st1D3,1,D,NA,NA,NA,0,control,none,5.01
st1D4,1,D,NA,NA,NA,0,control,none,5.14
st1D5,1,D,NA,NA,NA,0,control,none,4.51
st1D6,1,D,NA,NA,NA,NA,control,none,1.67
st2A1,2,A,200,1500,240,1940,potato,potato,6.11
st2A2,2,A,445,2395,170,3010,potato,potato,2.54
st2A3,2,A,710,3700,220,4630,potato,potato,8.48
st2A4,2,A,590,7730,1350,9670,potato,potato,5.91
st2A5,2,A,970,5120,2920,9010,potato,potato,8.92
st2A6,2,A,NA,NA,NA,NA,potato,potato,3.14
st2B1,2,B,17689.999999999993,12566.66666666666,1933.3333333333326,32189.999999999985,wheat,wheat,8.08
st2B2,2,B,1304.9999999999995,918.333333333333,144.99999999999994,2368.333333333332,wheat,wheat,2.3
st2B3,2,B,28274.999999999985,19768.333333333325,2078.3333333333326,31899.999999999985,wheat,wheat,6.84
st2B4,2,B,1546.666666666666,1014.9999999999995,96.66666666666663,2658.333333333332,wheat,wheat,0.56
st2B5,2,B,29773.33333333332,25423.33333333332,4446.666666666664,59643.333333333314,wheat,wheat,8.51
st2B6,2,B,NA,NA,NA,NA,wheat,wheat,1.06
st2C1,2,C,NA,3818.333333333331,821.6666666666663,4639.999999999998,mix,potato,5.04
st2C1,2,C,25181.666666666657,15998.333333333325,2803.333333333332,43983.333333333314,mix,wheat,5.04
st2C2,2,C,NA,1208.3333333333328,48.333333333333314,1256.666666666666,mix,potato,3.64
st2C2,2,C,8796.666666666662,4881.666666666664,1208.3333333333328,14886.66666666666,mix,wheat,3.64
st2C3,2,C,NA,1498.3333333333326,193.33333333333326,1691.666666666666,mix,potato,4.11
st2C3,2,C,12179.999999999996,6863.33333333333,918.333333333333,19961.666666666657,mix,wheat,4.11
st2C4,2,C,NA,2078.338875570335,628.335008893357,2706.6738844636916,mix,potato,3.61
st2C4,2,C,15805.042146779058,10730.028613409635,2175.005800015467,28710.076560204157,mix,wheat,3.61
st2C5,2,C,NA,70,0,70,mix,potato,3.17
st2C5,2,C,70,40,0,110,mix,wheat,3.17
st2D1,2,D,0,0,0,0,control,none,8.32
st2D2,2,D,0,0,0,0,control,none,11.18
st2D3,2,D,NA,NA,NA,NA,control,none,3.43
st2D4,2,D,NA,NA,NA,NA,control,none,5.76
st2D5,2,D,NA,NA,NA,NA,control,none,3.66
st2D6,2,D,NA,NA,NA,NA,control,none,5.67
