sample,plate,row,s,m,l,total,treatment,starch,weight,vol,portion_slide
st1A1,1,A,39,535,119,693,potato,potato,5.8,100,1
st1A2,1,A,6,28,5,39,potato,potato,5.81,100,1
st1A3,1,A,26,1392,389,1807,potato,potato,8.22,100,1
st1A4,1,A,14,184,40,238,potato,potato,4.65,100,1
st1A5,1,A,20,341,98,459,potato,potato,7.68,200,1
st1A6,1,A,32,466,159,657,potato,potato,7.79,200,1
st1B1,1,B,62,36,4,102,wheat,wheat,5.15,100,0.103448275862069
st1B2,1,B,508,321,18,847,wheat,wheat,4.56,100,0.25
st1B3,1,B,606,664,73,1343,wheat,wheat,9.28,100,0.103448275862069
st1B4,1,B,61,51,14,126,wheat,wheat,1.59,100,0.103448275862069
st1B5,1,B,276,227,64,567,wheat,wheat,8.62,200,0.103448275862069
st1B6,1,B,175,96,19,290,wheat,wheat,9.8,200,0.103448275862069
st1C1,1,C,,57,19,76,mix,potato,4.09,100,0.103448275862069
st1C1,1,C,97,94,50,241,mix,wheat,4.09,100,0.103448275862069
st1C2,1,C,,12,13,25,mix,potato,1.5,100,0.103448275862069
st1C2,1,C,31,30,9,70,mix,wheat,1.5,100,0.103448275862069
st1C3,1,C,,113,20,133,mix,potato,8.44,100,0.103448275862069
st1C3,1,C,351,256,39,646,mix,wheat,8.44,100,0.103448275862069
st1C4,1,C,,78,25,103,mix,potato,5.42,100,0.103448275862069
st1C4,1,C,392,302,68,762,mix,wheat,5.42,100,0.103448275862069
st1C5,1,C,,22,10,32,mix,potato,6.12,200,1
st1C5,1,C,5,0,0,5,mix,wheat,6.12,200,1
st1C6,1,C,,17,0,17,mix,potato,1.91,100,1
st1C6,1,C,97,52,12,161,mix,wheat,1.91,100,1
st1D1,1,D,,,,1,control,none,6.51,100,1
st1D2,1,D,,,,0,control,none,4.42,100,1
st1D3,1,D,,,,0,control,none,5.01,200,1
st1D4,1,D,,,,0,control,none,5.14,100,1
st1D5,1,D,,,,0,control,none,4.51,100,1
st1D6,1,D,,,,0,control,none,1.67,,
st2A1,2,A,20,150,24,194,potato,potato,6.11,200,1
st2A2,2,A,89,479,34,602,potato,potato,2.54,100,1
st2A3,2,A,71,370,22,463,potato,potato,8.48,200,1
st2A4,2,A,59,773,135,967,potato,potato,5.91,200,1
st2A5,2,A,97,512,292,901,potato,potato,8.92,200,1
st2A6,2,A,,,,,potato,potato,3.14,,
st2B1,2,B,183,130,20,333,wheat,wheat,8.08,200,0.103448275862069
st2B2,2,B,27,19,3,49,wheat,wheat,2.3,100,0.103448275862069
st2B3,2,B,585,409,43,660,wheat,wheat,6.84,100,0.103448275862069
st2B4,2,B,32,21,2,55,wheat,wheat,0.56,100,0.103448275862069
st2B5,2,B,308,263,46,617,wheat,wheat,8.51,200,0.103448275862069
st2B6,2,B,,,,,wheat,wheat,1.06,,
st2C1,2,C,,79,17,96,mix,potato,5.04,100,0.103448275862069
st2C1,2,C,521,331,58,910,mix,wheat,5.04,100,0.103448275862069
st2C2,2,C,,25,1,26,mix,potato,3.64,100,0.103448275862069
st2C2,2,C,182,101,25,308,mix,wheat,3.64,100,0.103448275862069
st2C3,2,C,,31,4,35,mix,potato,4.11,100,0.103448275862069
st2C3,2,C,252,142,19,413,mix,wheat,4.11,100,0.103448275862069
st2C4,2,C,,43,13,56,mix,potato,3.61,100,0.103448
st2C4,2,C,327,222,45,594,mix,wheat,3.61,100,0.103448
st2C5,2,C,,14,0,14,mix,potato,3.17,100,1
st2C5,2,C,14,8,0,22,mix,wheat,3.17,100,1
st2C6,2,C,,,,,mix,potato,1.75,,
st2D1,2,D,0,0,0,0,control,none,8.32,100,1
st2D2,2,D,0,0,0,0,control,none,11.18,200,1
st2D3,2,D,,,,,control,none,3.43,,
st2D4,2,D,,,,,control,none,5.76,,
st2D5,2,D,,,,,control,none,3.66,,
st2D6,2,D,,,,,control,none,5.67,,
